national_number,gen_numeric,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,Final evolution,is_final_evo,gigantamax,mega_evolution,mega_evolution_alt,description
1,1,I,Bulbasaur,Fushigidane,grass,poison,Seed Pokémon,88.14,11.86,0.7,6.9,45,5120,45,49,49,65,65,45,318,Overgrow,,,Chlorophyll,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,0,0,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,Venusaur,FALSE,,,,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
2,1,I,Ivysaur,Fushigisou,grass,poison,Seed Pokémon,88.14,11.86,1,13,45,5120,60,62,63,80,80,60,405,Overgrow,,,Chlorophyll,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,0,0,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,Venusaur,FALSE,,,,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,1,I,Venusaur,Fushigibana,grass,poison,Seed Pokémon,88.14,11.86,2,100,45,5120,80,82,83,100,100,80,525,Overgrow,,,Chlorophyll,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,0,0,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,Venusaur,TRUE,Gigantamax Venusaur,Mega Venusaur,,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,1,I,Charmander,Hitokage,fire,,Lizard Pokémon,88.14,11.86,0.6,8.5,45,5120,39,52,43,60,50,65,309,Blaze,,,Solar Power,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Charmander,Level ,Charmeleon,Level ,Charizard,,,Charizard,FALSE,,,,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
5,1,I,Charmeleon,Lizardo,fire,,Flame Pokémon,88.14,11.86,1.1,19,45,5120,58,64,58,80,65,80,405,Blaze,,,Solar Power,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Charmander,Level ,Charmeleon,Level ,Charizard,,,Charizard,FALSE,,,,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
6,1,I,Charizard,Lizardon,fire,flying,Flame Pokémon,88.14,11.86,1.7,90.5,45,5120,78,84,78,109,85,100,534,Blaze,,,Solar Power,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,0,0,0,Charmander,Level ,Charmeleon,Level ,Charizard,,,Charizard,TRUE,Gigantamax Charizard,Mega Charizard X,Mega Charizard Y,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
7,1,I,Squirtle,Zenigame,water,,Tiny Turtle Pokémon,88.14,11.86,0.5,9,45,5120,44,48,65,50,64,43,314,Torrent,,,Rain Dish,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Squirtle,Level ,Wartortle,Level ,Blastoise,,,Blastoise,FALSE,,,,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
8,1,I,Wartortle,Kameil,water,,Turtle Pokémon,88.14,11.86,1,22.5,45,5120,59,63,80,65,80,58,405,Torrent,,,Rain Dish,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Squirtle,Level ,Wartortle,Level ,Blastoise,,,Blastoise,FALSE,,,,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
9,1,I,Blastoise,Kamex,water,,Shellfish Pokémon,88.14,11.86,1.6,85.5,45,5120,79,83,100,85,105,78,530,Torrent,,,Rain Dish,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Squirtle,Level ,Wartortle,Level ,Blastoise,,,Blastoise,TRUE,Gigantamax Blastoise,Mega Blastoise,,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
10,1,I,Caterpie,Caterpie,bug,,Worm Pokémon,50.2,49.8,0.3,2.9,255,3840,45,30,35,20,20,45,195,Shield Dust,,,Run Away,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,0,0,Caterpie,Level ,Metapod,Level ,Butterfree,,,Butterfree,FALSE,,,,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
11,1,I,Metapod,Transel,bug,,Cocoon Pokémon,50.2,49.8,0.7,9.9,120,3840,50,20,55,25,25,30,205,Shed Skin,,,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,0,0,Caterpie,Level ,Metapod,Level ,Butterfree,,,Butterfree,FALSE,,,,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack."
12,1,I,Butterfree,Butterfree,bug,flying,Butterfly Pokémon,50.2,49.8,1.1,32,45,3840,60,45,50,90,80,70,395,Compoundeyes,,,Tinted Lens,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,0,0,Caterpie,Level ,Metapod,Level ,Butterfree,,,Butterfree,TRUE,Gigantamax Butterfree,,,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
13,1,I,Weedle,Beedle,bug,poison,Hairy Pokémon,50,50,0.3,3.2,255,3840,40,35,30,20,20,50,195,Shield Dust,,,Run Away,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Weedle,Level ,Kakuna,Level ,Beedrill,,,Beedrill,FALSE,,,,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
14,1,I,Kakuna,Cocoon,bug,poison,Cocoon Pokémon,50,50,0.6,10,120,3840,45,25,50,25,25,35,205,Shed Skin,,,,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Weedle,Level ,Kakuna,Level ,Beedrill,,,Beedrill,FALSE,,,,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
15,1,I,Beedrill,Spear,bug,poison,Poison Bee Pokémon,50,50,1,29.5,45,3840,65,90,40,45,80,75,395,Swarm,,,Sniper,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Weedle,Level ,Kakuna,Level ,Beedrill,,,Beedrill,TRUE,,Mega Beedrill,,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
